,Medicine_Name,Discounted_Prices,Real_Price,Manufacturer Name,Medicine_Link,Quantity,salts
0,BCDUO Gel 20gm,  ₹245.00,N/A,Livia Healthcare Llp,https://www.netmeds.com/prescriptions/bcduo-gel-20gm,N/A,Benzyl Peroxide 2.5 %+Clindamycin 1 %
1,Bdiff A Gel 15gm,  ₹420.00,N/A,Ipca Laboratories Ltd,https://www.netmeds.com/prescriptions/bdiff-a-gel-15gm,N/A,N/A
2,BELCLIN A Gel 15gm,  ₹225.00,N/A,Bellissa Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/belclin-a-gel-15gm,N/A,N/A
3,BELLISSA ACNE Soap 75gm,  ₹179.00,N/A,Bellissa Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/bellissa-acne-soap-75gm,N/A,N/A
4,Bengel AC 2.5% Gel 30gm,  ₹121.63,₹ 121.63 ,Hegde & Hegde Pharmaceutica Llp,https://www.netmeds.com/prescriptions/bengel-ac-2-5-gel-30gm,N/A,N/A
5,Bengel AC 5% Gel 30gm,  ₹166.90,N/A,Hegde & Hegde Pharmaceutica Llp,https://www.netmeds.com/prescriptions/bengel-ac-5-gel-30gm,N/A,N/A
6,BENIGLO 2.5% Gel(topical) 20gm,  ₹72.35,N/A,Kivi Labs Ltd,https://www.netmeds.com/prescriptions/beniglo-2-5-geltopical-20gm,N/A,N/A
7,BENIGLO 5% Gel(topical) 20gm,  ₹91.00,N/A,Kivi Labs Ltd,https://www.netmeds.com/prescriptions/beniglo-5-geltopical-20gm,N/A,N/A
8,BENLITE 2.5% Gel 20gm,  ₹72.35,₹ 72.35 ,Innovative Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/benlite-2-5-gel-20gm,N/A,N/A
9,BENXOP 5 Gel 20gm,  ₹124.00,N/A,Salve Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/benxop-5-gel-20gm,N/A,N/A
10,BENXOP Face Wash 50gm,  ₹225.00,N/A,Salve Pharmaceuticals Pvt Ltd,https://www.netmeds.com/prescriptions/benxop-face-wash-50gm,N/A,N/A
11,BENZ ADP Gel 15gm,  ₹299.00,N/A,Dabur India Ltd,https://www.netmeds.com/prescriptions/benz-adp-gel-15gm,N/A,N/A
12,BENZAC AC 2.5% Gel 30gm,  ₹121.50,₹ 121.50 ,Galderma India Pvt Ltd,https://www.netmeds.com/prescriptions/benzac-ac-2-5-gel-30gm,N/A,N/A
13,BENZAC AC 5% Gel 30gm,  ₹238.80,₹ 238.80 ,Galderma India Pvt Ltd,https://www.netmeds.com/prescriptions/benzac-ac-5-gel-30gm,N/A,Benzoyl Peroxide 5 %
